user_id,song_id,mood_before,mood_after,start_date,end_date,is_recommended
3,140329,anger,happy,2025-05-19T06:15:52,2025-05-19T06:15:52,0
1,18443,sad,sad,2025-05-19T06:20:26,2025-05-19T06:20:26,1
1,155071,sad,anger,2025-05-19T06:21:20,2025-05-19T06:21:20,1
1,102768,sad,anger,2025-05-19T06:39:39,2025-05-19T06:39:39,1
1,40990,sad,happy,2025-05-19T06:41:25,2025-05-19T06:41:25,1
1,184483,anger,sad,2025-05-19T06:42:54,2025-05-19T06:42:54,0
1,67700,sad,sad,2025-05-19T06:43:00,2025-05-19T06:43:00,0
1,130919,sad,sad,2025-05-19T06:46:57,2025-05-19T06:46:57,1
1,192249,sad,relaxed,2025-05-19T06:58:09,2025-05-19T06:58:09,1
1,232804,relaxed,happy,2025-05-19T06:58:24,2025-05-19T06:58:24,0
1,99095,sad,relaxed,2025-05-19T07:17:39,2025-05-19T07:17:39,0
